County,State,Population
All,United States,"320,635,163"
Autauga County,Alabama,"54,864"
Baldwin County,Alabama,"202,939"
Barbour County,Alabama,"26,283"
Bibb County,Alabama,"22,566"
Blount County,Alabama,"57,526"
Bullock County,Alabama,"10,400"
Butler County,Alabama,"20,162"
Calhoun County,Alabama,"115,469"
Chambers County,Alabama,"33,996"
Cherokee County,Alabama,"25,732"
Chilton County,Alabama,"43,700"
Choctaw County,Alabama,"13,231"
Clarke County,Alabama,"24,698"
Clay County,Alabama,"13,415"
Cleburne County,Alabama,"14,914"
Coffee County,Alabama,"50,963"
Colbert County,Alabama,"54,417"
Conecuh County,Alabama,"12,678"
Coosa County,Alabama,"10,934"
Covington County,Alabama,"37,556"
Crenshaw County,Alabama,"13,850"
Cullman County,Alabama,"81,761"
Dale County,Alabama,"49,365"
Dallas County,Alabama,"40,936"
DeKalb County,Alabama,"71,087"
Elmore County,Alabama,"80,872"
Escambia County,Alabama,"37,661"
Etowah County,Alabama,"102,998"
Fayette County,Alabama,"16,696"
Franklin County,Alabama,"31,515"
Geneva County,Alabama,"26,631"
Greene County,Alabama,"8,508"
Hale County,Alabama,"15,015"
Henry County,Alabama,"17,101"
Houston County,Alabama,"104,260"
Jackson County,Alabama,"52,195"
Jefferson County,Alabama,"660,455"
Lamar County,Alabama,"13,927"
Lauderdale County,Alabama,"92,459"
Lawrence County,Alabama,"33,135"
Lee County,Alabama,"156,954"
Limestone County,Alabama,"91,565"
Lowndes County,Alabama,"10,350"
Macon County,Alabama,"19,296"
Madison County,Alabama,"352,977"
Marengo County,Alabama,"19,766"
Marion County,Alabama,"30,119"
Marshall County,Alabama,"94,585"
Mobile County,Alabama,"414,462"
Monroe County,Alabama,"21,717"
Montgomery County,Alabama,"227,279"
Morgan County,Alabama,"119,257"
Perry County,Alabama,"9,640"
Pickens County,Alabama,"20,776"
Pike County,Alabama,"33,496"
Randolph County,Alabama,"22,594"
Russell County,Alabama,"58,844"
St. Clair County,Alabama,"86,546"
Shelby County,Alabama,"208,959"
Sumter County,Alabama,"13,206"
Talladega County,Alabama,"81,128"
Tallapoosa County,Alabama,"40,605"
Tuscaloosa County,Alabama,"204,767"
Walker County,Alabama,"64,931"
Washington County,Alabama,"16,832"
Wilcox County,Alabama,"10,896"
Winston County,Alabama,"23,930"
Aleutians East Borough,Alaska,"3,373"
Aleutians West Census Area,Alaska,"5,781"
Anchorage Municipality,Alaska,"297,547"
Bethel Census Area,Alaska,"17,955"
Bristol Bay Borough,Alaska",904
Denali Borough,Alaska,"1,933"
Dillingham Census Area,Alaska,"4,988"
Fairbanks North Star Borough,Alaska,"99,636"
Haines Borough,Alaska,"2,516"
Hoonah-Angoon Census Area,Alaska,"2,132"
